# Time-averaged data for fix 7
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
0 100
1 0.015 0 0
2 0.045 0 0
3 0.075 0 0
4 0.105 0 0
5 0.135 0 0
6 0.165 0 0
7 0.195 0 0
8 0.225 0 0
9 0.255 0 0
10 0.285 0 0
11 0.315 0 0
12 0.345 0 0
13 0.375 0 0
14 0.405 0 0
15 0.435 0 0
16 0.465 0 0
17 0.495 0 0
18 0.525 0 0
19 0.555 0 0
20 0.585 0 0
21 0.615 0 0
22 0.645 0 0
23 0.675 0 0
24 0.705 0 0
25 0.735 0 0
26 0.765 0 0
27 0.795 0 0
28 0.825 0 0
29 0.855 0 0
30 0.885 0 0
31 0.915 0 0
32 0.945 0 0
33 0.975 0 0
34 1.005 0 0
35 1.035 0 0
36 1.065 0 0
37 1.095 0 0
38 1.125 0 0
39 1.155 0 0
40 1.185 0 0
41 1.215 0 0
42 1.245 0 0
43 1.275 0 0
44 1.305 0 0
45 1.335 0 0
46 1.365 0 0
47 1.395 0 0
48 1.425 0 0
49 1.455 0 0
50 1.485 24.0805 6
51 1.515 0 6
52 1.545 0 6
53 1.575 0 6
54 1.605 0 6
55 1.635 0 6
56 1.665 0 6
57 1.695 0 6
58 1.725 0 6
59 1.755 0 6
60 1.785 0 6
61 1.815 0 6
62 1.845 0 6
63 1.875 0 6
64 1.905 0 6
65 1.935 0 6
66 1.965 0 6
67 1.995 0 6
68 2.025 0 6
69 2.055 0 6
70 2.085 0 6
71 2.115 23.743 18
72 2.145 0 18
73 2.175 0 18
74 2.205 0 18
75 2.235 0 18
76 2.265 0 18
77 2.295 0 18
78 2.325 0 18
79 2.355 0 18
80 2.385 0 18
81 2.415 0 18
82 2.445 0 18
83 2.475 0 18
84 2.505 0 18
85 2.535 0 18
86 2.565 0 18
87 2.595 10.5146 26
88 2.625 0 26
89 2.655 0 26
90 2.685 0 26
91 2.715 0 26
92 2.745 0 26
93 2.775 0 26
94 2.805 0 26
95 2.835 0 26
96 2.865 0 26
97 2.895 0 26
98 2.925 0 26
99 2.955 0 26
100 2.985 5.95993 32
100000 100
1 0.015 0 0
2 0.045 0 0
3 0.075 0 0
4 0.105 0 0
5 0.135 0 0
6 0.165 0 0
7 0.195 0 0
8 0.225 0 0
9 0.255 0 0
10 0.285 0 0
11 0.315 0 0
12 0.345 0 0
13 0.375 0 0
14 0.405 0 0
15 0.435 0 0
16 0.465 0 0
17 0.495 0 0
18 0.525 0 0
19 0.555 0 0
20 0.585 0 0
21 0.615 0 0
22 0.645 0 0
23 0.675 0 0
24 0.705 0 0
25 0.735 0 0
26 0.765 0 0
27 0.795 0 0
28 0.825 0 0
29 0.855 0 0
30 0.885 0.0225987 0.002
31 0.915 0.0211413 0.004
32 0.945 0.317126 0.036
33 0.975 0.633064 0.104
34 1.005 1.15662 0.236
35 1.035 1.58625 0.428
36 1.065 1.73224 0.65
37 1.095 1.83054 0.898
38 1.125 1.90204 1.17
39 1.155 1.8974 1.456
40 1.185 1.76474 1.736
41 1.215 1.48682 1.984
42 1.245 1.55307 2.256
43 1.275 1.30663 2.496
44 1.305 1.18489 2.724
45 1.335 1.45005 3.016
46 1.365 1.21602 3.272
47 1.395 1.09151 3.512
48 1.425 1.19423 3.786
49 1.455 1.0786 4.044
50 1.485 1.1077 4.32
51 1.515 0.987149 4.576
52 1.545 0.986264 4.842
53 1.575 0.827744 5.074
54 1.605 0.962005 5.354
55 1.635 1.07932 5.68
56 1.665 1.07271 6.016
57 1.695 0.985783 6.336
58 1.725 0.981538 6.666
59 1.755 0.96551 7.002
60 1.785 0.938885 7.34
